NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
FI19,Länsi-Suomi,64725,1384761,9.310199,26.50067,24.497368,6.4185805,81.2,41.6,5.5,24.4,34700,17200,2.2111390763244443,10.206445038061856,66.05777990519279,EU27
FI1B,Helsinki-Uusimaa,9568,1733033,10.177302,26.82142,18.230524,4.3756812,81.7,49.3,6.4,29.6,49500,20700,5.476588628762542,14.046822742474916,59.301839464882946,EU27
FI1C,Etelä-Suomi,35370,1144473,8.462323,24.25212,26.537017,6.8462078,81.2,37.8,6.4,38.8,34300,17600,3.270301591339495,14.454902625851492,58.707142655247466,EU27
FI1D,Pohjois- ja Itä-Suomi,227119,1271344,9.346015,26.39246,25.830224,6.4701607,80.6,38,5.5,21.3,33500,16200,1.0976576259246213,2.1283902782669952,66.12935892920042,EU27
FI20,Åland,1581,30359,10.425245,25.62667,23.847953,6.1365658,83.1,32.3,,,40100,17600,,7.7798861480075905,77.10309930423782,EU27
FR10,Ile-de-France,12070,12388388,12.117969,31.64791,15.960204,4.4679421,84.1,56.5,6.7,29.8,57900,23200,14.531897265948631,39.56917978458989,30.265120132560064,EU27
FRB0,Centre - Val de Loire,39529,2572735,10.614579,28.21297,23.775865,6.8763398,81.9,37.8,4.5,24.5,28500,18800,3.7339674669230187,44.63052442510562,27.12438968858307,EU27
FRC1,Bourgogne,31754,1614580,9.762849,26.53637,25.894226,7.5297601,81.7,36.4,6.2,30.3,29900,19400,3.583800466083013,28.35548277382377,33.4572022422372,EU27
FRC2,Franche-Comté,16308,1179388,10.605755,28.7918,22.489545,6.3397287,82.1,36.9,4.6,23,27000,18700,3.961246014226147,15.286975717439294,47.57174392935982,EU27
FRD1,Basse-Normandie,17758,1472492,9.941242,27.27098,25.166181,7.1146736,81.3,38.6,4.7,24.2,27600,18200,6.627998648496453,38.04482486766528,15.181889852460861,EU27
FRD2,Haute-Normandie,12355,1854083,11.291404,29.91759,21.319218,5.7243392,81,35,5.6,27.3,31000,18100,6.272764063132335,47.697288547146904,19.4496155402671,EU27
FRE1,Nord-Pas de Calais,12444,4070111,11.632631,31.5656,19.181664,4.9106769,80.5,34.9,7.9,34.9,29100,16500,9.040501446480231,52.732240437158474,14.167470266795243,EU27
FRE2,Picardie,19505,1916353,11.470747,30.34832,20.293547,5.1977376,80.9,32.6,7.2,32.5,26700,17800,6.541912330171751,56.45731863624711,20.107664701358626,EU27
FRF1,Alsace,8329,1932857,10.376867,28.3098,20.574828,5.7964971,82.3,44.5,4.7,38.5,32100,19700,8.860607515908272,27.050066034337856,41.5175891463561,EU27
FRF2,Champagne-Ardenne,25720,1311569,10.615682,28.90652,22.673226,6.2841528,81.4,30.1,5.8,38.4,31600,19100,4.175738724727839,47.86547433903577,30.381026438569208,EU27
FRF3,Lorraine,23669,2320856,10.167025,27.76971,22.112014,6.1292902,81.2,32.2,6.1,34.9,25900,19000,5.564240145337783,30.136465418902365,40.63965524525751,EU27
FRG0,Pays de la Loire,32376,3902115,10.963747,29.62194,21.897048,6.2179357,82.7,38.7,4.9,19.6,32200,17700,7.437608104768964,42.182480850012354,16.49987645169261,EU27
FRH0,Bretagne,27471,3432901,10.183486,27.97156,23.731095,6.6841427,81.9,40.2,4.2,26.9,30800,17900,7.7208692803319865,41.64391540169633,20.075716209821266,EU27
FRI1,Aquitaine,41804,3566828,9.812416,26.68093,23.942394,6.8178224,82.6,40.5,6,21.3,31100,18300,5.00191369246962,21.029088125538227,44.58903454214907,EU27
FRI2,Limousin,17056,724181,8.843093,25.03656,28.029457,8.3694546,82,40.7,5.2,34.8,26200,19000,4.338649155722327,11.84920262664165,36.77884615384615,EU27
